Quit Status ,Sex ,Total
Number setting a quit date,Male,128476
Number who successfully quit (self-reported),Male,66928
Number who had not quit,Male,32071
Number not known/lost to follow up,Male,29477
Number who had successfully quit confirmed by CO validation,Male,48375
Number setting a quit date,Female,138636
Number who successfully quit (self-reported),Female,68917
Number who had not quit,Female,38194
Number not known/lost to follow up,Female,31525
Number who had successfully quit confirmed by CO validation,Female,48511
