Metric_Primary,Metric_Secondary,Metric_Tertiary,Value,Percentage
Setting a quit date,Male,All ages,91717,100
Successfully quit (self-reported),Male,All ages,47450,52
Not quit,Male,All ages,23677,26
Not known/lost to follow up,Male,All ages,20590,22
Successfully quit confirmed by CO validation,Male,All ages,34315,37
Setting a quit date,Female,All ages,104045,100
Successfully quit (self-reported),Female,All ages,50163,48
Not quit,Female,All ages,28959,28
Not known/lost to follow up,Female,All ages,24923,24
Successfully quit confirmed by CO validation,Female,All ages,35546,34
